Area,Location,Property Type,Number of structures,Swimming Pool,Boundary,Age Category,Land Rate,Market Value,Number of rooms,Proximity to schools(km),Proximity to healthcare(km),Proximity to malls(km),Proximity to highway(km)
412.67,medium density,single_storey,1,No,walled,established,57.14285714,59623.80714,3,2.046683861,1.700987104,4.264124433,0.496201891
417.6,medium density,single_storey,2,No,walled,established,57.14285714,62851.01429,4,2.089040503,1.746116911,4.250951053,0.53942972
417.67,medium density,single_storey,1,No,walled,established,57.14285714,62755.42857,4,2.049874669,1.696086778,4.189908755,0.081748027
409.84,medium density,single_storey,2,No,walled,relatively new,35.71428571,53445.34286,4,2.02202806,1.668734778,4.220384867,0.085288646
401.96,medium density,single_storey,2,No,fenced,relatively new,35.71428571,53016.60714,4,1.991583315,1.639251502,4.257127418,0.096168042
404.98,medium density,single_storey,1,No,walled,relatively new,57.14285714,61788.72857,3,1.962092343,1.607963942,4.268837004,0.145155337
416.23,medium density,single_storey,2,No,walled,relatively new,57.14285714,62326.2,4,1.992047789,1.637076446,4.233091507,0.140130435
408.24,medium density,single_storey,1,No,walled,relatively new,35.71428571,53120.85714,5,2.02689189,1.671689459,4.198070336,0.12812823
405.99,medium density,single_storey,2,No,walled,relatively new,35.71428571,52974.21429,4,2.081460994,1.725752743,4.141548892,0.262963625
447.02,medium density,single_storey,2,No,walled,relatively new,57.14285714,64016.95714,4,2.084130521,1.728043846,4.135150314,0.250477021
409.87,medium density,single_storey,1,No,walled,relatively new,57.14285714,61891.68571,3,2.13193519,1.776151141,4.093041654,0.243799293
408.24,medium density,single_storey,2,No,walled,relatively new,35.71428571,53027.77143,3,2.114292503,1.757807423,4.102304148,0.22574097
401.23,medium density,single_storey,1,No,walled,relatively new,57.14285714,61346.92857,6,2.116401147,1.759528845,4.096099853,0.211595635
400.19,medium density,single_storey,1,No,fenced,relatively new,35.71428571,52612.74286,6,2.096814313,1.738960925,4.103933628,0.261350688
410.94,medium density,single_storey,1,No,walled,relatively new,35.71428571,52927.81429,2,2.071718367,1.713153388,4.119898475,0.176275101
401.39,medium density,single_storey,2,No,walled,relatively new,57.14285714,61186.78571,3,2.066876256,1.709458496,4.137582267,0.217642863
417.83,medium density,single_storey,1,No,walled,old,57.14285714,62112.26429,2,2.034314245,1.677026506,4.17023078,0.242465113
417.61,medium density,single_storey,2,No,walled,old,57.14285714,62085.49286,5,2.035590531,1.677367269,4.158877093,0.214527763
412.03,medium density,single_storey,1,No,walled,old,28.57142857,49658.20714,3,2.002201305,1.644163345,4.193214583,0.246037266
417.88,medium density,single_storey,1,No,walled,old,57.14285714,61757.22143,3,1.964420238,1.606689053,4.232913858,0.284280984
594.93,medium density,single_storey,1,No,walled,old,64.28571429,71805.97143,3,1.934489177,1.577044916,4.264620975,0.063911879
423.53,medium density,single_storey,1,No,walled,old,57.14285714,61806.81429,4,1.977910374,1.621139029,4.2294957,0.295709612
404.67,medium density,single_storey,1,No,walled,old,57.14285714,60665.25714,4,2.003742694,1.646753439,4.202609474,0.271697033
412.02,medium density,single_storey,1,No,walled,old,35.71428571,52200.14286,4,1.94621054,1.58981439,4.263361825,0.327705885
396.78,medium density,single_storey,1,No,walled,old,57.14285714,60119.89286,3,1.916968881,1.558402702,4.270256584,0.040132966
423.73,medium density,single_storey,1,No,walled,old,57.14285714,61567.32143,3,1.951562664,1.592741133,4.233799592,0.019976407
421.23,medium density,single_storey,2,No,walled,old,57.14285714,61325.10714,3,2.0244215,1.665190061,4.157786392,0.059289201
401.82,medium density,single_storey,1,No,walled,old,35.71428571,51588.23571,4,2.00684526,1.646984978,4.16638094,0.201759882
401.48,medium density,single_storey,1,No,walled,old,57.14285714,60145.52857,5,1.888222731,1.529820504,4.299895274,0.338750692
408.17,medium density,single_storey,3,No,walled,old,35.71428571,51657.00714,3,1.84811166,1.489023256,4.331893987,0.367143171
408.24,medium density,single_storey,1,No,walled,relatively new,35.71428571,51610.02857,3,1.881802519,1.522771091,4.299566427,0.061746383
424.15,medium density,single_storey,2,No,walled,relatively new,35.71428571,52161,3,1.966690985,1.60718915,4.21087001,0.032255815
400.2,medium density,single_storey,2,No,walled,relatively new,57.14285714,59866.75,4,1.939034721,1.579726097,4.240394504,0.010470398
417.17,medium density,single_storey,1,No,walled,relatively new,57.14285714,60635.85714,3,1.907401207,1.548207698,4.272719113,0.035959303
405.01,medium density,single_storey,1,No,walled,relatively new,35.71428571,51213.82857,4,2.05569586,1.696384822,4.126162683,0.348721237
412.73,medium density,single_storey,2,No,walled,relatively new,57.14285714,60315.22143,4,2.040198844,1.680323031,4.133286057,0.394385976
400.2,medium density,single_storey,1,No,walled,relatively new,35.71428571,50939.77857,3,1.994778958,1.634581034,4.172475287,0.213311202
411.16,medium density,single_storey,1,No,walled,relatively new,57.14285714,60015.75,5,2.103914666,1.744273043,4.074244742,0.346656615
405.53,medium density,single_storey,2,No,walled,relatively new,57.14285714,59620.98571,4,2.003278471,1.642898313,4.159149488,0.479501701
405,medium density,single_storey,2,No,walled,relatively new,57.14285714,59477.87857,4,2.08186342,1.72145595,4.078226437,0.153509563
409.57,medium density,single_storey,2,No,walled,relatively new,57.14285714,59693.92857,5,1.406201085,1.049369456,4.778980917,0.698810428
417.14,medium density,single_storey,2,No,walled,relatively new,57.14285714,60078.8,3,1.518699307,1.162507292,4.674377212,0.710039103
602.09,medium density,single_storey,2,No,walled,relatively new,28.57142857,51208.55714,4,1.895052002,1.534718052,4.268217496,0.315262477
450.13,medium density,single_storey,2,No,walled,relatively new,35.71428571,52174.30714,3,0.982389942,0.635020926,5.216766004,0.269910911
439.9,medium density,single_storey,2,No,walled,relatively new,35.71428571,51769.8,2,0.973092828,0.614715283,5.193629504,1.043756119
438.18,medium density,single_storey,2,No,walled,relatively new,57.14285714,61051.73571,4,1.432327739,1.074973203,4.724078093,0.788206147
637.65,medium density,single_storey,1,No,walled,relatively new,64.28571429,76960.04286,4,1.60747965,1.251467307,4.552664447,0.100193303
